sampleRate	unanimous total	unanimous%	unanimousAvgLoss	defaultApproxTotal	defaultApprox%	defaultApproxAvgLoss	landslideTotal	landslide%	landslideApproxAvgLoss	ambiguousTotal	ambiguous%	ambiguousAvgLoss	noVotesTotal	noVotes%	noVotesAvgLoss
1.00E-04	708	0	0.012894253	7391	0	0.090056362	0	NaN	NaN	0	NaN	NaN	1	1	0
2.00E-04	1135	0	0.009183033	6963	0	0.073950279	0	NaN	NaN	0	NaN	NaN	2	1	0
3.00E-04	1842	0	0.01149996	6255	0	0.069519431	0	NaN	NaN	0	NaN	NaN	3	1	0
4.00E-04	2316	0	0.011628184	5780	0	0.061799332	0	NaN	NaN	0	NaN	NaN	4	1	0
5.00E-04	2548	0	0.007917235	5542	0	0.048493735	6	0	0.008125957	0	NaN	NaN	4	1	0
6.00E-04	2843	0	0.011224577	5217	0	0.047247803	36	0	0.017041432	0	NaN	NaN	4	1	0
7.00E-04	2820	0	0.012122656	5002	0	0.04539504	273	0	0.003277063	0	NaN	NaN	5	1	0
8.00E-04	3003	0	0.011828742	4624	0	0.043264472	467	0	0.006863974	0	NaN	NaN	6	1	0
9.00E-04	3680	0	0.011231212	4255	0	0.03652963	158	0	0.004004361	0	NaN	NaN	7	1	0
0.001	3587	0	0.014010669	3798	0	0.042566986	707	0	0.006966342	0	NaN	NaN	8	1	0
0.002	4251	0	0.010103372	1247	0	0.026814726	2588	0	0.010494271	0	NaN	NaN	14	1	0
0.003	3639	0	0.007649272	7	0	0.038201868	4434	0	0.009085291	0	NaN	NaN	20	1	0
0.004	2093	0	0.005413457	0	NaN	NaN	5984	0	0.009126955	0	NaN	NaN	23	1	0
0.005	1913	0	0.005709228	0	NaN	NaN	6163	0	0.009089619	0	NaN	NaN	24	1	0
0.006	1751	0	0.005038434	0	NaN	NaN	6326	0	0.007567542	0	NaN	NaN	23	1	0
0.007	1690	0	0.005548954	0	NaN	NaN	6389	0	0.008495635	0	NaN	NaN	21	1	0
0.008	1905	0	0.004938094	0	NaN	NaN	6176	0	0.008590169	0	NaN	NaN	19	1	0
0.009	1522	0	0.004663024	0	NaN	NaN	6560	0	0.008105237	0	NaN	NaN	18	1	0
0.01	1797	0	0.005398252	0	NaN	NaN	6288	0	0.007975724	0	NaN	NaN	15	1	0
1.00E-04	708	0	0.012894253	7391	0	0.090056362	0	NaN	NaN	0	NaN	NaN	1	1	0
2.00E-04	1135	0	0.009183033	6963	0	0.073950279	0	NaN	NaN	0	NaN	NaN	2	1	0
3.00E-04	1842	0	0.01149996	6255	0	0.069519431	0	NaN	NaN	0	NaN	NaN	3	1	0
4.00E-04	2316	0	0.011628184	5780	0	0.061799332	0	NaN	NaN	0	NaN	NaN	4	1	0
5.00E-04	2539	0	0.010761295	5557	0	0.054985964	0	NaN	NaN	0	NaN	NaN	4	1	0
6.00E-04	2667	0	0.012845384	5250	0	0.060414386	179	0	0.004616567	0	NaN	NaN	4	1	0
7.00E-04	3017	0	0.00989803	4902	0	0.045703262	176	0	0.014480394	0	NaN	NaN	5	1	0
8.00E-04	3168	0	0.009687218	4768	0	0.041531217	158	0	0.004004361	0	NaN	NaN	6	1	0
9.00E-04	3470	0	0.010802944	4205	0	0.039292539	418	0	0.004480802	0	NaN	NaN	7	1	0
0.001	3593	0	0.012444948	3850	0	0.037429561	649	0	0.005865393	0	NaN	NaN	8	1	0
0.002	4838	0	0.009375934	950	0	0.028506142	2298	0	0.009690305	0	NaN	NaN	14	1	0
