sampleRate	unanimous total	unanimous%	unanimousAvgLoss	defaultApproxTotal	defaultApprox%	defaultApproxAvgLoss	landslideTotal	landslide%	landslideApproxAvgLoss	ambiguousTotal	ambiguous%	ambiguousAvgLoss	noVotesTotal	noVotes%	noVotesAvgLoss	initialSamplesTotal	initialSamples%	initialSamplesAvgLoss
1.0E-4	708	0.1751412429378531	0.012894252510195884	7391	0.0	0.09005636199372512	0	NaN	NaN	0	NaN	NaN	1	1.0	0.0	0	NaN	NaN
2.0E-4	1135	0.307488986784141	0.009183032828118167	6963	0.0	0.073950278851793	0	NaN	NaN	0	NaN	NaN	2	1.0	0.0	0	NaN	NaN
3.0E-4	1842	0.250814332247557	0.011499960411820945	6255	0.0	0.06951943063194412	0	NaN	NaN	0	NaN	NaN	3	1.0	0.0	0	NaN	NaN
4.0E-4	2316	0.22279792746113988	0.011628184208233082	5780	0.0	0.06179933248617758	0	NaN	NaN	0	NaN	NaN	4	1.0	0.0	0	NaN	NaN
5.0E-4	2754	0.25090777051561364	0.010893084993613569	5341	0.0	0.044178469743095056	0	NaN	NaN	0	NaN	NaN	4	1.0	0.0	1	1.0	0.0
6.0E-4	3012	0.24833997343957503	0.011366666552288653	5083	7.869368483179224E-4	0.048948250060505266	0	NaN	NaN	0	NaN	NaN	4	1.0	0.0	1	1.0	0.0
7.0E-4	2999	0.24674891630543513	0.010533259898361623	4994	0.0	0.0476133530257045	101	0.0	0.012384848118227805	0	NaN	NaN	5	1.0	0.0	1	1.0	0.0
8.0E-4	3298	0.25955124317768347	0.010435316985023443	4476	2.2341376228775692E-4	0.04016861502275254	319	0.23197492163009403	0.00934018194977642	0	NaN	NaN	6	1.0	0.0	1	1.0	0.0
9.0E-4	3486	0.20539300057372348	0.012653654854571619	4150	2.4096385542168674E-4	0.04099513660167445	456	0.34649122807017546	0.007860843388824793	0	NaN	NaN	7	1.0	0.0	1	1.0	0.0
0.0010	3605	0.240499306518724	0.011164098344649539	3922	0.014533401325854156	0.03695730503505636	564	0.5336879432624113	0.0044059204327078615	0	NaN	NaN	8	1.0	0.0	1	1.0	0.0
0.0020	4233	0.32482872667139145	0.00963668020543692	1136	0.014084507042253521	0.028750773584657406	2714	0.3271923360353721	0.008281687384595358	0	NaN	NaN	14	1.0	0.0	3	1.0	0.0
0.0030	2655	0.27645951035781546	0.011167618954989725	405	0.0	0.037841962159478194	5015	0.2755732801595214	0.009836749856321318	0	NaN	NaN	20	1.0	0.0	5	1.0	0.0
0.0040	2235	0.41252796420581656	0.005812169360421964	0	NaN	NaN	5836	0.3485263879369431	0.0076235006638266795	0	NaN	NaN	23	1.0	0.0	6	1.0	0.0
0.0050	2307	0.40528825314260947	0.005127649609920422	0	NaN	NaN	5762	0.25807011454356127	0.010119483920519673	0	NaN	NaN	23	1.0	0.0	8	1.0	0.0
0.0060	2100	0.4328571428571429	0.006204928264121418	0	NaN	NaN	5970	0.24874371859296482	0.009725404440052522	0	NaN	NaN	21	1.0	0.0	9	1.0	0.0
0.0070	2054	0.47760467380720545	0.00425200239074095	0	NaN	NaN	6016	0.29039228723404253	0.007970524559946355	0	NaN	NaN	19	1.0	0.0	11	1.0	0.0
0.0080	1607	0.5818294959551961	0.0036396437007482248	0	NaN	NaN	6461	0.2796780684104628	0.00842720917556148	0	NaN	NaN	19	1.0	0.0	13	1.0	0.0
0.0090	1811	0.4826062948647156	0.004214853265584507	0	NaN	NaN	6256	0.2843670076726343	0.008776008858833879	0	NaN	NaN	19	1.0	0.0	14	1.0	0.0
0.01	2116	0.3950850661625709	0.007076464083870278	0	NaN	NaN	5951	0.2896992102167703	0.008910128500873133	0	NaN	NaN	17	1.0	0.0	16	1.0	0.0
1.0E-4	708	0.1751412429378531	0.012894252510195884	7391	0.0	0.09005636199372512	0	NaN	NaN	0	NaN	NaN	1	1.0	0.0	0	NaN	NaN
2.0E-4	1135	0.307488986784141	0.009183032828118167	6963	0.0	0.073950278851793	0	NaN	NaN	0	NaN	NaN	2	1.0	0.0	0	NaN	NaN
3.0E-4	1842	0.250814332247557	0.011499960411820945	6255	0.0	0.06951943063194412	0	NaN	NaN	0	NaN	NaN	3	1.0	0.0	0	NaN	NaN
